year,month,day,date_decimal,snvalue,snerror,nb_observations,
2020,1,1,2020.001,6,0.3,18,
2020,1,2,2020.004,12,0.7,25,
2020,1,3,2020.007,13,1.2,19,
2020,1,4,2020.01,12,0.7,34,
2020,1,5,2020.012,14,1.3,27,
2020,1,6,2020.015,7,0.5,24,
2020,1,7,2020.018,4,1.5,8,
2020,1,8,2020.02,4,0.8,10,
2020,1,9,2020.023,15,1.3,27,
2020,1,10,2020.026,4,1.6,10,
2020,1,11,2020.029,0,0,31,
2020,1,12,2020.031,0,0,34,
2020,1,13,2020.034,0,0,31,
2020,1,14,2020.037,0,0,26,
2020,1,15,2020.04,0,0,35,
2020,1,16,2020.042,0,0,36,
2020,1,17,2020.045,0,0,28,
2020,1,18,2020.048,0,0,36,
2020,1,19,2020.051,0,0,40,
2020,1,20,2020.053,0,0,25,
2020,1,21,2020.056,0,0,34,
2020,1,22,2020.059,0,0,24,
2020,1,23,2020.061,0,0,25,
2020,1,24,2020.064,8,0.5,21,
2020,1,25,2020.067,12,0.7,13,
2020,1,26,2020.07,19,1.5,30,
2020,1,27,2020.072,14,0.9,17,
2020,1,28,2020.075,12,0.8,18,
2020,1,29,2020.078,12,0.9,37,
2020,1,30,2020.081,12,0.6,22,
2020,1,31,2020.083,12,0.7,30,
2020,2,1,2020.086,6,0.4,20,
2020,2,2,2020.089,0,0,27,
2020,2,3,2020.092,0,0,36,
2020,2,4,2020.094,0,0,29,
2020,2,5,2020.097,0,0,39,
2020,2,6,2020.1,0,0,38,
2020,2,7,2020.102,0,0,41,
2020,2,8,2020.105,0,0,30,
2020,2,9,2020.108,0,0,31,
2020,2,10,2020.111,0,0,34,
2020,2,11,2020.113,0,0,39,
2020,2,12,2020.116,0,0,39,
2020,2,13,2020.119,0,0,38,
2020,2,14,2020.122,0,0,35,
2020,2,15,2020.124,0,0,36,
2020,2,16,2020.127,0,0,27,
2020,2,17,2020.13,0,0,38,
2020,2,18,2020.133,0,0,36,
2020,2,19,2020.135,0,0,38,
2020,2,20,2020.138,0,0,31,
2020,2,21,2020.141,0,0,38,
2020,2,22,2020.143,0,0,28,
2020,2,23,2020.146,0,0,26,
2020,2,24,2020.149,0,0,32,
2020,2,25,2020.152,0,0,28,
2020,2,26,2020.154,0,0,34,
2020,2,27,2020.157,0,0,32,
2020,2,28,2020.16,0,0,37,
2020,2,29,2020.163,0,0,30,
2020,3,1,2020.165,0,0,42,
2020,3,2,2020.168,0,0,24,
2020,3,3,2020.171,0,0,38,
2020,3,4,2020.173,0,0,29,
